epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9034.31,1.20609,1.42746,1.43226,0.52806,0.60108,0.60133,0.38689,1.2998,1.08152,1.67128,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,9300.74,1.20184,1.41974,1.42989,0.5008,0.60197,0.60292,0.38409,1.30044,1.07538,1.67336,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,9566.74,1.19801,1.39849,1.42477,0.49031,0.6095,0.60091,0.38622,1.29665,1.07878,1.66839,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,9834.49,1.18988,1.38864,1.42481,0.49302,0.64497,0.60482,0.39387,1.29562,1.06717,1.66496,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,10102.6,1.18786,1.37116,1.42255,0.52406,0.61687,0.60948,0.3896,1.29622,1.0615,1.66655,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,10371,1.17965,1.35239,1.41716,0.4975,0.6222,0.6061,0.38646,1.29389,1.06067,1.6633,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,10641.4,1.17595,1.32454,1.41265,0.51056,0.636,0.61933,0.39579,1.29175,1.04845,1.65925,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,10909,1.16706,1.31446,1.40692,0.52264,0.63212,0.6214,0.39895,1.29043,1.04675,1.66251,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,11175.7,1.16318,1.29013,1.40249,0.52084,0.63119,0.62655,0.40187,1.29175,1.04191,1.66609,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,11443.5,1.11359,0.98012,1.49183,0.53661,0.65762,0.62891,0.4047,1.29014,1.04036,1.66556,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,11710.1,1.09926,0.93397,1.48444,0.56265,0.63148,0.62987,0.40669,1.29427,1.04508,1.66798,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,11973.1,1.08934,0.91377,1.47848,0.56388,0.63891,0.63254,0.40737,1.29426,1.0453,1.66748,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,12242.6,1.07552,0.89283,1.46946,0.56063,0.64326,0.639,0.41147,1.29315,1.03802,1.66788,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,12505,1.06606,0.86561,1.45495,0.55683,0.64682,0.63877,0.4076,1.29327,1.03506,1.67009,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,12767.1,1.0527,0.84455,1.44471,0.55059,0.62279,0.63944,0.40927,1.29301,1.03247,1.6719,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,13030.7,1.04347,0.82894,1.4416,0.54547,0.62503,0.64217,0.40818,1.29339,1.03549,1.67287,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,13297,1.03405,0.80718,1.42994,0.53664,0.63703,0.64628,0.41362,1.29334,1.03467,1.67403,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,13562,1.02089,0.79025,1.42294,0.53421,0.65079,0.64424,0.41155,1.29472,1.03629,1.67617,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,13829.8,1.01184,0.77489,1.4154,0.54293,0.64751,0.64442,0.41277,1.29624,1.03828,1.67838,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
